date,channel,dma_code,daily_spend_usd,platform_reported_conversions
2026-01-01,meta_paid_social,DMA_100_SAN_FRANCISCO,156.68,7
2026-01-01,google_paid_search,DMA_100_SAN_FRANCISCO,247.34,15
2026-01-01,tiktok_ads,DMA_100_SAN_FRANCISCO,208.65,16
2026-01-01,meta_paid_social,DMA_101_NEW_YORK,188.35,9
2026-01-01,google_paid_search,DMA_101_NEW_YORK,156.14,7
2026-01-01,tiktok_ads,DMA_101_NEW_YORK,82.34,5
2026-01-01,meta_paid_social,DMA_102_CHICAGO,207.91,10
2026-01-01,google_paid_search,DMA_102_CHICAGO,161.28,10
2026-01-01,tiktok_ads,DMA_102_CHICAGO,74.59,5
2026-01-01,meta_paid_social,DMA_103_LOS_ANGELES,233.11,19
2026-01-01,google_paid_search,DMA_103_LOS_ANGELES,184.66,14
2026-01-01,tiktok_ads,DMA_103_LOS_ANGELES,101.84,8
2026-01-01,meta_paid_social,DMA_104_DALLAS,283.58,17
2026-01-01,google_paid_search,DMA_104_DALLAS,94.32,7
2026-01-01,tiktok_ads,DMA_104_DALLAS,89.34,7
2026-01-01,meta_paid_social,DMA_105_SEATTLE,99.06,5
2026-01-01,google_paid_search,DMA_105_SEATTLE,161.54,13
2026-01-01,tiktok_ads,DMA_105_SEATTLE,149.18,8
2026-01-01,meta_paid_social,DMA_106_AUSTIN,250.0,16
2026-01-01,google_paid_search,DMA_106_AUSTIN,231.98,13
2026-01-01,tiktok_ads,DMA_106_AUSTIN,242.86,12
2026-01-01,meta_paid_social,DMA_107_ATLANTA,100.54,6
2026-01-01,google_paid_search,DMA_107_ATLANTA,186.05,12
2026-01-01,tiktok_ads,DMA_107_ATLANTA,240.55,20
2026-01-01,meta_paid_social,DMA_108_BOSTON,177.04,11
2026-01-01,google_paid_search,DMA_108_BOSTON,286.28,17
2026-01-01,tiktok_ads,DMA_108_BOSTON,285.27,15
2026-01-01,meta_paid_social,DMA_109_DENVER,62.25,4
2026-01-01,google_paid_search,DMA_109_DENVER,166.94,10
2026-01-01,tiktok_ads,DMA_109_DENVER,120.75,7
2026-01-01,meta_paid_social,DMA_110_MIAMI,207.51,12
2026-01-01,google_paid_search,DMA_110_MIAMI,140.02,7
2026-01-01,tiktok_ads,DMA_110_MIAMI,80.31,5
2026-01-01,meta_paid_social,DMA_111_PHOENIX,251.65,15
2026-01-01,google_paid_search,DMA_111_PHOENIX,264.5,14
2026-01-01,tiktok_ads,DMA_111_PHOENIX,150.74,8
2026-01-01,meta_paid_social,DMA_112_PHILADELPHIA,227.0,11
2026-01-01,google_paid_search,DMA_112_PHILADELPHIA,257.92,13
2026-01-01,tiktok_ads,DMA_112_PHILADELPHIA,223.3,17
2026-01-01,meta_paid_social,DMA_113_SAN_DIEGO,63.33,2
2026-01-01,google_paid_search,DMA_113_SAN_DIEGO,230.22,15
2026-01-01,tiktok_ads,DMA_113_SAN_DIEGO,162.68,9
2026-01-01,meta_paid_social,DMA_114_SAN_JOSE,123.24,8
2026-01-01,google_paid_search,DMA_114_SAN_JOSE,248.42,16
2026-01-01,tiktok_ads,DMA_114_SAN_JOSE,177.3,12
2026-01-01,meta_paid_social,DMA_115_HOUSTON,209.36,14
2026-01-01,google_paid_search,DMA_115_HOUSTON,76.45,3
2026-01-01,tiktok_ads,DMA_115_HOUSTON,78.91,5
2026-01-01,meta_paid_social,DMA_116_DETROIT,249.3,14
2026-01-01,google_paid_search,DMA_116_DETROIT,273.1,20
2026-01-01,tiktok_ads,DMA_116_DETROIT,246.07,16
2026-01-01,meta_paid_social,DMA_117_MINNEAPOLIS,272.71,14
2026-01-01,google_paid_search,DMA_117_MINNEAPOLIS,104.17,5
2026-01-01,tiktok_ads,DMA_117_MINNEAPOLIS,203.98,16
2026-01-01,meta_paid_social,DMA_118_TAMPA,272.27,16
2026-01-01,google_paid_search,DMA_118_TAMPA,247.22,15
2026-01-01,tiktok_ads,DMA_118_TAMPA,291.5,21
2026-01-01,meta_paid_social,DMA_119_ORLANDO,251.57,13
2026-01-01,google_paid_search,DMA_119_ORLANDO,243.14,16
2026-01-01,tiktok_ads,DMA_119_ORLANDO,161.99,12
2026-01-01,meta_paid_social,DMA_120_BALTIMORE,149.06,8
2026-01-01,google_paid_search,DMA_120_BALTIMORE,133.37,8
2026-01-01,tiktok_ads,DMA_120_BALTIMORE,217.83,17
2026-01-01,meta_paid_social,DMA_121_CLEVELAND,204.88,10
2026-01-01,google_paid_search,DMA_121_CLEVELAND,85.68,7
2026-01-01,tiktok_ads,DMA_121_CLEVELAND,174.54,10
2026-01-01,meta_paid_social,DMA_122_SACRAMENTO,181.48,10
2026-01-01,google_paid_search,DMA_122_SACRAMENTO,274.54,17
2026-01-01,tiktok_ads,DMA_122_SACRAMENTO,226.37,18
2026-01-01,meta_paid_social,DMA_123_PITTSBURGH,126.11,7
2026-01-01,google_paid_search,DMA_123_PITTSBURGH,61.88,5
2026-01-01,tiktok_ads,DMA_123_PITTSBURGH,159.46,10
2026-01-01,meta_paid_social,DMA_124_PORTLAND,132.4,6
2026-01-01,google_paid_search,DMA_124_PORTLAND,133.11,11
2026-01-01,tiktok_ads,DMA_124_PORTLAND,68.35,3
2026-01-01,meta_paid_social,DMA_125_LAS_VEGAS,86.1,5
2026-01-01,google_paid_search,DMA_125_LAS_VEGAS,120.96,6
2026-01-01,tiktok_ads,DMA_125_LAS_VEGAS,74.69,3
2026-01-01,meta_paid_social,DMA_126_ST_LOUIS,283.5,23
2026-01-01,google_paid_search,DMA_126_ST_LOUIS,56.84,3
2026-01-01,tiktok_ads,DMA_126_ST_LOUIS,57.91,2
2026-01-01,meta_paid_social,DMA_127_CHARLOTTE,204.76,11
2026-01-01,google_paid_search,DMA_127_CHARLOTTE,189.16,12
